Incident_ID,Date,Quarter,School,City,State,School_Level,Location,Location_Type,During_School,Time_Period,First_Shot,Summary,Narrative,Situation,Targets,Accomplice,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Preplanned,Shots_Fired,Shots-Fired Category ,Active_Shooter_FBI
19700105DCUNW,05/01/1970,Winter,Unnamed High School,Washington,DC,High,Playground,Outside on School Property,Yes,,,Student shot at twice during attempted robbery on playground,"Group of 10 teens attempted to rob a 16 year-old male student on school playground. When victim ran, unknown teen suspect fired 2 shots that missed. Shooter fled the scene.",Illegal Activity,Victims Targeted,Yes,No,No,No,No,No,No,No,2.00,<5,
19700105DCSOW,05/01/1970,Winter,Sousa Junior High,Washington,DC,Junior High,Hallway,Inside School Building,Yes,,,Occurred during horseplay in the school,"14 year-old male student shot during ""horseplay"" in the school hallway. Friend of the victim who fired the gun surrendered to police.",Accidental,Random Shooting,No,No,No,No,No,No,No,No,1.00,<5,
19700105DCHIW,05/01/1970,Winter,Hine Junior High School,Washington,DC,High,Inside School Building,Inside School Building,Yes,,,"Didn't know how to operate pistol, cocked hammer and couldn't get it to safely release causing accidental discharge",Student showing off gun cocked hammer and could not get it to release causing accidental discharge and killing 15 year-old male student. Gave gun to another student after the shooting and told police that he and the victim had been attacked by an unknown male.,Accidental,Random Shooting,Yes,No,No,No,No,No,No,No,1.00,<5,
19700206OHJOC,06/02/1970,Winter,John F. Kennedy High School,Cleveland,OH,High,Hallway,Inside School Building,Yes,,,Argument in school hallway escalated into shooting,Argument between shooter and victim escalated into shooting in school hallway.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,4.00,<5,
19700323CADAL,23/03/1970,Spring,David Starr Jordan High School,Long Beach,CA,High,Beside Building,Outside on School Property,No,Night,,Teens fired at security guard who returned fire injuring one,Group of teens fired shots at the night time security guard who fired back injuring one of them. No motive known.,Illegal Activity,Neither,Yes,No,No,No,No,No,No,No,<10,<10,
19700415ARPIP,15/04/1970,Spring,Pine Bluff Coleman High School,Pine Bluff,AR,High,Cafeteria,Inside School Building,Yes,Lunch,12:00:00,6 gunmen chased student into cafeteria firing weapons,Six different armed gunmen chased a student into the cafeteria. Student had a gun and was firing back at the group of gunmen. Multiple shots were fired in the cafeteria striking 7 people. All of the shooters fled the scene and 8 were charged with shooting with the intent to kill.,Escalation of Dispute,Both,Yes,No,No,No,No,No,Yes,No,>20,>10,
19700422DEPIW,22/04/1970,Spring,Pierre S. Dupont High School,Wilmington,DE,High,Hallway,Inside School Building,Yes,Morning Classes,09:00:00,Ongoing fight between the students escalated into shooting in school hallway,Personal feud between the students escalated into a 16 year-old male student shooting a 18 year-old male student in the hallway of the school. Shooter fled the scene.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,1.00,<5,
19700508FLCAD,08/05/1970,Spring,Carver High School,Delray Beach,FL,High,Inside School Building,Inside School Building,Yes,Morning Classes,10:00:00,Shooting after previous fight at pool hall,Shooter and victim had previous fight at pool hall. Shooter confronted victim in the school building and fired once injuring him. ,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,1.00,<5,
19700515UTBEO,15/05/1970,Spring,Ben Lomond High School,Ogden,UT,High,Hallway,Inside School Building,Yes,,,"Showing off gun in hallway, fired two shots striking teacher and student",Shooter was showing off gun to students in the hallway. Pointed the gun at multiple students and at his own head saying he was going to kill himself. Fired two shots striking a teacher and a student. Claimed the shooting was accidental. Committed for psychiatric examination and sentenced to youth facility until turning 21.,Suicide/Attempted,Random Shooting,No,No,No,No,,No,No,No,2.00,<5,
19700828TXRIE,28/08/1970,Summer,Riverside High School,El Paso,TX,High,Outside on School Property,Outside on School Property,Yes,Lunch,00:00:00,Fight between students in parking lot escalated into shooting,Fight between 4 students in the parking lot escalated into a shooting. Two students fired guns and one was injured.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,No,No,<10,<10,
