incidentid,age,age category ,gender,race,schoolaffiliation,shooteroutcome,shooterdied,injury,chargesfiled,verdict,minorchargedadult,criminalhistory
19700105DCHIW,15,Teen,Male,Unknown,Student,Unknown,No,None,,,,
19700105DCSOW,,Unknown,Male,Unknown,Student,Surrendered,No,None,,,,
19700105DCUNW,,Unknown,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19700206OHJOC,18,Adult,Male,Hispanic,Student,Unknown,No,None,,1-5 years,N/A,
19700323CADAL,16,Teen,Male,Hispanic,Student,Surrendered,No,None,Assault with intent to commit murder,,N/A,
19700323CADAL,44,Adult,Male,Hispanic,Police Officer/SRO,Surrendered,No,None,Assault with intent to commit murder,,N/A,
19700415ARPIP,18,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,8 persons charged with shooting with intent to kill,,N/A,
19700415ARPIP,Teen,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,8 persons charged with shooting with intent to kill,,N/A,
19700415ARPIP,Adult,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,8 persons charged with shooting with intent to kill,,N/A,
19700415ARPIP,Adult,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,8 persons charged with shooting with intent to kill,,N/A,
19700415ARPIP,Adult,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,8 persons charged with shooting with intent to kill,,N/A,
19700415ARPIP,Adult,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,8 persons charged with shooting with intent to kill,,N/A,
19700415ARPIP,Adult,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,8 persons charged with shooting with intent to kill,,N/A,
19700415ARPIP,Adult,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,8 persons charged with shooting with intent to kill,,N/A,
19700422DEPIW,16,Teen,Male,Hispanic,Student,Fled/Apprehended,No,None,,,,
19700508FLCAD,18,Adult,Male,Hispanic,Student,Fled/Apprehended,No,None,,,N/A,
19700515UTBEO,15,Teen,Male,White,Student,Unknown,No,None,,sentenced to youth facility until turning 21.,No,
