incidentid,race,injury,gender,schoolaffiliation,age,age category 
19700105DCHIW,N/A,Fatal,Male,Student,15,Teen
19700105DCSOW,N/A,Wounded,Male,Student,Teen,Teen
19700105DCUNW,N/A,None,Male,Unknown,16,Teen
19700206OHJOC,N/A,Wounded,Male,Student,18,Adult
19700323CADAL,N/A,Wounded,Male,Security Guard,44,Adult
19700323CADAL,N/A,Wounded,Male,Student,16,Teen
19700415ARPIP,Black,Fatal,Male,Student,20,Adult
19700415ARPIP,Black,Wounded,Unknown,Student,Teen,Teen
19700415ARPIP,Black,Wounded,Unknown,Student,Teen,Teen
19700415ARPIP,Black,Wounded,Unknown,Student,Teen,Teen
19700415ARPIP,Black,Wounded,Unknown,Student,Teen,Teen
19700415ARPIP,Black,Wounded,Unknown,Student,Teen,Teen
19700422DEPIW,Black,Fatal,Male,Student,18,Adult
19700508FLCAD,N/A,Wounded,Male,Student,19,Adult
19700515UTBEO,N/A,Wounded,Female,Teacher,Adult,Adult
19700515UTBEO,N/A,Wounded,Male,Student,15,Teen
19700828TXRIE,Hispanic,Wounded,Male,Student,15,Teen
19700831FLALM,Hispanic,Fatal,Male,Parent,Adult,Adult
19700914TNHAN,Black,Wounded,Male,Student,16,Teen
19700914TNHAN,Black,Wounded,Male,Student,16,Teen
19700914TNHAN,Black,Fatal,Male,Student,20,Adult
19700924IDMEM,N/A,Fatal,Male,Student,16,Teen
19700928IACED,N/A,Wounded,Female,Student,Teen,Teen
19701005MIPOD,N/A,Wounded,Male,Student,Teen,Teen
19701005MIPOD,N/A,Wounded,Male,Student,Teen,Teen
19701005MIPOD,N/A,Wounded,Male,Student,Teen,Teen
19701005MIPOD,N/A,Wounded,Male,Student,Teen,Teen
19701019TNBOM,N/A,Fatal,Male,Student,Teen,Teen
19701020TNWAN,N/A,Wounded,Male,Student,15,Teen
19701027OHAPM,N/A,Wounded,Male,Student,15,Teen
19701120ILHAC,N/A,Wounded,Female,Student,14,Child
19701120ILHAC,N/A,Wounded,Male,Student,15,Teen
19701212WIXAA,N/A,Fatal,Male,No Relation,42,Adult
19710202PAMOP,White,Fatal,Male,Teacher,56,Adult
19710205PAJOW,N/A,Wounded,Male,Student,13,Child
19710210TXOAD,N/A,Wounded,,Student,Teen,Teen
19710210TXOAD,N/A,Wounded,,Student,Teen,Teen
19710225OHFRC,N/A,Fatal,Male,Student,15,Teen
19710309AZROT,N/A,Wounded,Female,Student,14,Child
19710405PAWIH,N/A,Minor Injuries,Female,Student,18,Adult
19710527MIBES,N/A,Wounded,Male,Student,16,Teen
19710602NYEAE,N/A,None,Male,Student,13,Child
19710820PAMOM,Black,Wounded,Male,Student,18,Adult
19710909TXDUL,Black,Fatal,Male,Student,16,Teen
19710924NYMCB,N/A,Fatal,Male,Student,23,Adult
19710928MNCEM,N/A,None,,Student,Teen,Teen
19710929VAPEP,Black,Wounded,Female,Student,17,Teen
19710929VAPEP,White,Fatal,Male,Student,14,Child
19710929VAPEP,Black,Wounded,Male,Student,14,Child
19711028MDCIB,N/A,Wounded,Male,Student,17,Teen
19711029MDFOB,N/A,Wounded,Male,Student,Teen,Teen
19711029MDFRB,N/A,Wounded,Male,Student,Teen,Teen
19711029MDFRB,N/A,Wounded,Male,Student,Teen,Teen
19711103NMCAC,N/A,Wounded,Male,Police Officer/SRO,Adult,Adult
19711108OKGRT,N/A,Fatal,Male,Principal/Vice-Principal,49,Adult
19711124MDEDB,N/A,Fatal,Male,Student,17,Teen
19711206CALOL,N/A,Wounded,Male,Student,14,Child
19711206CALOL,N/A,Wounded,Male,Student,14,Child
19711206CALOL,N/A,Wounded,Female,Student,13,Child
19711206CALOL,N/A,Wounded,Female,Student,13,Child
19711213MDCAB,N/A,Wounded,Male,Student,16,Teen
19720105DCPAW,N/A,Fatal,Female,Teacher,57,Adult
19720124OHSTS,White,Wounded,Male,Teacher,49,Adult
19720126MDGWB,N/A,Wounded,Male,Student,14,Child
19720126MDHAB,N/A,Wounded,Male,Student,16,Teen
19720214ILCAC,N/A,Fatal,Male,Student,18,Adult
19720215ILKEC,N/A,None,Male,No Relation,21,Adult
19720228CAMAL,N/A,Wounded,Male,Student,14,Child
19720313TXUNH,N/A,Wounded,Male,Student,15,Teen
19720412LAEAG,N/A,Wounded,Female,Teacher,27,Adult
19720504NVLIR,N/A,Fatal,Male,Principal/Vice-Principal,33,Adult
19720505INDEI,N/A,Fatal,Male,Student,16,Teen
19720914TXFRH,N/A,Wounded,Male,Teacher,25,Adult
19720915MISAS,N/A,Wounded,Male,Student,Teen,Teen
19720915MISAS,N/A,Wounded,Male,Student,Teen,Teen
19720919TXCUH,N/A,Wounded,Female,Teacher,28,Adult
19720921OHTHA,White,Wounded,Female,Teacher,27,Adult
19721111CAJEL,N/A,Wounded,Female,Student,16,Teen
19721111CAJEL,N/A,Wounded,Female,Student,14,Child
19721111CAJEL,N/A,Wounded,Male,Student,16,Teen
19721111CAJEL,N/A,Wounded,Male,Student,16,Teen
19721111CAJEL,N/A,Wounded,Male,Student,14,Child
19721127MIPOP,N/A,Wounded,Female,Student,15,Teen
19721127MIPOP,N/A,Wounded,Female,Student,15,Teen
19721127MIPOP,N/A,Wounded,Male,Student,16,Teen
19721127MIPOP,N/A,Wounded,Male,Student,15,Teen
19721127MIPOP,N/A,Wounded,Male,Student,15,Teen
19721129FLMIM,N/A,Wounded,Male,Student,17,Teen
19730105NCSOS,White,Wounded,Female,Student,Teen,Teen
19730105NCSOS,White,Wounded,Female,Student,Teen,Teen
19730105NCSOS,White,Wounded,Male,Student,Teen,Teen
19730105NCSOS,White,Wounded,Male,Student,Teen,Teen
19730118CAJOL,N/A,Wounded,Male,Other Staff,20,Adult
19730118CAJOL,N/A,Wounded,Male,Other Staff,18,Adult
19730131NCCUB,N/A,Wounded,Male,Student,Teen,Teen
19730212ALBOM,N/A,Wounded,Male,Student,15,Teen
19730226VAARR,N/A,Fatal,Male,Student,16,Teen
19730226VAARR,N/A,Wounded,Female,Student,14,Child
19730405CALOL,N/A,Wounded,Male,Student,16,Teen
19730405CALOL,N/A,Wounded,Male,Student,17,Teen
19730501OHRAY,N/A,Wounded,Female,Student,16,Teen
19730501OHRAY,N/A,Wounded,Male,Student,16,Teen
19730501OHRAY,N/A,Wounded,Male,Student,17,Teen
19730928CAWIL,N/A,Wounded,Female,Student,16,Teen
19730928CAWIL,N/A,Wounded,Male,Student,Teen,Teen
19730928CAWIL,N/A,Wounded,Male,Student,Teen,Teen
19731002ILELA,N/A,Fatal,Female,Student,16,Teen
19731019MOBES,N/A,Fatal,Male,Student,17,Teen
19731023MOSUS,N/A,Wounded,Male,Student,18,Adult
19731023OHBAB,N/A,Wounded,Male,Teacher,27,Adult
19731024MNCEM,N/A,Wounded,Male,Student,16,Teen
19731031MONOS,N/A,Wounded,Male,No Relation,17,Teen
19731108ILWOC,N/A,Fatal,Male,Student,18,Adult
19731109CALOL,N/A,Wounded,Female,No Relation,16,Teen
19731109CALOL,N/A,Fatal,Female,No Relation,1,Child
19731206CAFRL,N/A,Wounded,Male,Student,17,Teen
19731213OHHUC,N/A,Wounded,Male,Student,17,Teen
19740117ILBAC,N/A,Wounded,Male,Security Guard,47,Adult
19740117ILBAC,N/A,Wounded,Male,Principal/Vice-Principal,40,Adult
19740117ILBAC,N/A,Minor Injuries,Male,Teacher,29,Adult
19740117ILBAC,N/A,Fatal,Male,Principal/Vice-Principal,52,Adult
19740122CALOL,N/A,Fatal,Male,Student,18,Adult
19740207CAJAO,N/A,Fatal,Male,No Relation,26,Adult
19740207CAJAO,N/A,Fatal,Male,No Relation,29,Adult
19740322INBRB,N/A,Fatal,Male,Teacher,48,Adult
19740402CTSTB,N/A,Wounded,Male,Student,5,Child
19740402CTSTB,N/A,Wounded,Female,Teacher,Adult,Adult
19740510TNCHR,N/A,Fatal,Male,Student,20,Adult
19740519FLHIO,N/A,None,,,,Unknown
19740923CAJED,N/A,Wounded,Male,Student,16,Teen
19740925CASAL,N/A,Wounded,Male,Student,17,Teen
19741007LADEH,White,Wounded,Male,Student,Teen,Teen
19741007LADEH,White,Fatal,Male,Student,13,Child
19741021MDDOB,N/A,Wounded,Male,Security Guard,42,Adult
19741118SCCAC,N/A,Wounded,Male,No Relation,18,Adult
19741121ARBOL,N/A,Fatal,Male,Student,15,Teen
19741121ARBOL,N/A,Wounded,Male,Student,15,Teen
19741125SCCAC,N/A,None,,,,Unknown
19741218CAMAL,N/A,Fatal,Male,Student,16,Teen
19741218CAMAL,N/A,Wounded,Male,Student,17,Teen
19741230NYOLO,N/A,Wounded,Male,Police Officer/SRO,37,Adult
19741230NYOLO,N/A,Fatal,Female,No Relation,25,Adult
19741230NYOLO,N/A,Minor Injuries,Male,Police Officer/SRO,28,Adult
19741230NYOLO,N/A,Fatal,Male,Other Staff,63,Adult
19741230NYOLO,N/A,Wounded,Male,Police Officer/SRO,23,Adult
19741230NYOLO,N/A,Minor Injuries,Male,Police Officer/SRO,36,Adult
19741230NYOLO,N/A,Wounded,Male,Police Officer/SRO,43,Adult
19741230NYOLO,N/A,Wounded,Male,Police Officer/SRO,55,Adult
19741230NYOLO,N/A,Minor Injuries,Male,Student,12,Child
19741230NYOLO,N/A,Fatal,Male,No Relation,58,Adult
19741230NYOLO,N/A,Minor Injuries,Male,Police Officer/SRO,40,Adult
19741230NYOLO,N/A,Wounded,Male,No Relation,Child,Child
19741230NYOLO,N/A,Wounded,Male,No Relation,Adult,Adult
19741230NYOLO,N/A,Wounded,Male,Police Officer/SRO,35,Adult
19750207NYBOM,N/A,None,Male,Student,16,Teen
19750224NJSTP,N/A,Wounded,Female,Teacher,25,Adult
19750224NJSTP,N/A,Fatal,Male,Teacher,38,Adult
19750312TXJOH,N/A,Wounded,Male,Student,15,Teen
19750312TXJOH,N/A,Wounded,Male,Student,17,Teen
19750318MOSUS,N/A,Fatal,Male,Student,18,Adult
19750321OHPAD,N/A,Wounded,Male,Student,31,Adult
19750321VAFAR,N/A,Wounded,Female,Student,8,Child
19750515MOROS,N/A,Wounded,Male,Other Staff,34,Adult
19750527MIPID,N/A,Fatal,Male,Student,13,Child
19750709ILDEC,N/A,Wounded,Female,Teacher,30,Adult
19750711MOCES,N/A,Wounded,Female,Student,17,Teen
19750711MOCES,N/A,Wounded,Female,Student,18,Adult
19750911OKGRO,White,Fatal,Male,Student,15,Teen
19750911OKGRO,White,Wounded,Male,Student,Teen,Teen
19750911OKGRO,N/A,Minor Injuries,Male,Student,Teen,Teen
19750911OKGRO,N/A,Minor Injuries,Male,Student,Teen,Teen
19750911OKGRO,N/A,Minor Injuries,Male,Student,Teen,Teen
19750911OKGRO,N/A,Wounded,,Police Officer/SRO,Adult,Adult
19751001NMHEA,N/A,Fatal,Male,Teacher,36,Adult
19751024GAMUA,N/A,Wounded,Male,Principal/Vice-Principal,35,Adult
19751218CAORS,N/A,Wounded,Male,Unknown,18,Adult
19760101AZCAP,N/A,Wounded,Male,Security Guard,39,Adult
19760123OHCOC,N/A,Wounded,Female,Other Staff,44,Adult
19760123OHCOC,N/A,Fatal,Male,Teacher,56,Adult
19760206FLESP,White,Wounded,Male,Student,Teen,Teen
19760206FLESP,White,Wounded,Male,Student,Teen,Teen
19760206FLESP,White,Wounded,Male,Student,Teen,Teen
19760206FLESP,White,Wounded,Male,Student,Teen,Teen
19760212MIMUD,N/A,Wounded,Male,Student,Teen,Teen
19760212MIMUD,N/A,Wounded,Male,Student,Teen,Teen
19760212MIMUD,N/A,Wounded,Male,Student,Teen,Teen
19760212MIMUD,N/A,Wounded,Male,Student,Teen,Teen
19760212MIMUD,N/A,Wounded,Male,Student,Teen,Teen
19760412TXODF,N/A,Fatal,Male,Student,15,Teen
19760412TXODF,N/A,Wounded,Male,Student,15,Teen
19760513MOMAS,N/A,Wounded,Male,Student,9,Child
19760514FLPAW,N/A,Wounded,Male,Former Student,18,Adult
19760602MDMTC,N/A,None,,,,Unknown
19760920NCGUG,N/A,Wounded,Female,Bus Driver,Adult,Adult
19761110MIBUD,N/A,Fatal,Female,Teacher,Adult,Adult
19761210MOFRS,N/A,Wounded,Male,Principal/Vice-Principal,39,Adult
19761210MOFRS,N/A,Wounded,Female,Teacher,39,Adult
19770113ILOLB,N/A,Wounded,Male,Student,15,Teen
19770209ILFEC,N/A,Wounded,Male,Student,15,Teen
19770209ILFEC,N/A,Wounded,Male,Student,Teen,Teen
19770209ILFEC,N/A,Wounded,Male,Student,Teen,Teen
19770209ILFEC,N/A,Fatal,Female,Student,Teen,Teen
19770228MOROS,N/A,Wounded,Male,Student,16,Teen
19770228MOROS,N/A,Wounded,Male,Student,16,Teen
19770228TXHOA,N/A,Wounded,Male,Student,15,Teen
19770308ILCOE,N/A,Wounded,Female,Student,16,Teen
19770308ILCOE,N/A,Wounded,Male,Principal/Vice-Principal,Adult,Adult
19770321NYPAH,N/A,None,,,,Unknown
19770407TXWHW,N/A,Fatal,Male,Principal/Vice-Principal,31,Adult
19770418TNPIN,N/A,Fatal,Male,Parent,46,Adult
19770517FLSTC,N/A,None,,,,Unknown
19770622ILHOC,N/A,Wounded,Male,Student,18,Adult
19770622ILHOC,N/A,Wounded,Male,Student,18,Adult
19770711COSOC,N/A,Wounded,Male,Student,15,Teen
19771129MOHAS,N/A,None,,,,Unknown
19771129MOVAS,N/A,Wounded,Male,Student,16,Teen
19771209CAPES,N/A,None,Female,Teacher,Adult,Adult
19771212FLWEW,N/A,Fatal,Male,Principal/Vice-Principal,Adult,Adult
19771215MABLC,N/A,Wounded,Male,Student,16,Teen
19771215MABLC,N/A,Wounded,Male,Student,18,Adult
19780111KYCHH,N/A,Wounded,Male,Student,Teen,Teen
19780209WVHAS,N/A,Fatal,Male,Student,Teen,Teen
19780222MIEVL,N/A,Fatal,Male,Student,15,Teen
19780222MIEVL,N/A,Wounded,Male,Student,16,Teen
19780309CAMOS,N/A,Wounded,Male,Student,9,Child
19780329TNGAN,White,Wounded,Male,Parent,Adult,Adult
19780414MIFOD,N/A,Wounded,Male,Student,16,Teen
19780426TXPAD,N/A,Fatal,Male,Other Staff,56,Adult
19780428ILRIN,N/A,Wounded,Male,Student,15,Teen
19780428ILRIN,N/A,Fatal,Male,Student,16,Teen
19780428ILRIN,N/A,Fatal,Male,Student,16,Teen
19780428ILRIN,N/A,Wounded,Male,Student,16,Teen
19780518TXMUA,N/A,Fatal,Male,Teacher,Adult,Adult
19780519PADOP,N/A,Wounded,,Student,12,Child
19780519PADOP,N/A,Wounded,,Student,Child,Child
19780519PADOP,N/A,Wounded,,Student,Child,Child
19780519PADOP,N/A,Wounded,,Student,Child,Child
19780519PADOP,N/A,Wounded,,Student,Child,Child
19780519PADOP,N/A,Wounded,,Student,Child,Child
19780519PADOP,N/A,Wounded,,Student,Child,Child
19780519PADOP,N/A,Wounded,,Student,Child,Child
19780607DEDOD,N/A,Fatal,Male,Student,18,Adult
19780610MAWEW,N/A,None,Male,Student,17,Teen
19781017ALLAL,N/A,Wounded,Male,Principal/Vice-Principal,Adult,Adult
19781017MOUNU,N/A,Wounded,Male,Student,Teen,Teen
19781017MOUNU,N/A,Wounded,Male,Student,Teen,Teen
19781017MOUNU,N/A,Wounded,Male,Student,Teen,Teen
19781129NYPAN,N/A,Wounded,Male,Student,16,Teen
19781214CTWIN,N/A,Fatal,Male,Teacher,56,Adult
19790129CAGRS,N/A,Fatal,Male,Other Staff,53,Adult
19790129CAGRS,N/A,Fatal,Male,Other Staff,56,Adult
19790129CAGRS,N/A,Wounded,,Student,Child,Child
19790129CAGRS,N/A,Wounded,Male,Police Officer/SRO,Adult,Adult
19790129CAGRS,N/A,Wounded,,Student,Child,Child
19790129CAGRS,N/A,Wounded,,Student,Child,Child
